Date,Task,Notes,Hours,Week_Start,Week_Number,Year,Time_Type,CT_Category,CT_Type,VT_Category,Day_Number,Notes_Clean,Month,Day_of_Week
2025-11-23,MASTERY: SQL Bootcamp,SQL bootcamp,1.85,2025-11-23,47,2025,CT,SQL,Pre_Classification,,,SQL bootcamp,2025-11,Sunday
2025-11-23,MASTERY: HackerRank SQL,hackerank SQL,1.83,2025-11-23,47,2025,CT,SQL,Pre_Classification,,,hackerank SQL,2025-11,Sunday
2025-11-23,MASTERY: Python Bootcamp,python bootcamp,1.15,2025-11-23,47,2025,CT,Python,Pre_Classification,,,python bootcamp,2025-11,Sunday
2025-11-24,MASTERY: AWS BIG DATA bootcamp,AWS Bootcamp,1.0,2025-11-23,48,2025,CT,AWS,Pre_Classification,,,AWS Bootcamp,2025-11,Monday
2025-11-24,MASTERY: Personal Understanding,personal study and understanding,1.84,2025-11-23,48,2025,Other,,,,,personal study and understanding,2025-11,Monday
2025-11-24,MASTERY: SQL Bootcamp,SQL bootcamp,0.92,2025-11-23,48,2025,CT,SQL,Pre_Classification,,,SQL bootcamp,2025-11,Monday
2025-11-25,MASTERY: SQL Bootcamp,SQL bootcamp,1.45,2025-11-23,48,2025,CT,SQL,Pre_Classification,,,SQL bootcamp,2025-11,Tuesday
2025-11-25,MASTERY: HackerRank SQL,hackerank SQL,2.86,2025-11-23,48,2025,CT,SQL,Pre_Classification,,,hackerank SQL,2025-11,Tuesday
2025-11-25,ML Study & Research,"DATA ENGINEERING NEWS: seatleDataGuy, DataWithZach, MarinaWyss",0.22,2025-11-23,48,2025,Other,,,,,"DATA ENGINEERING NEWS: seatleDataGuy, DataWithZach, MarinaWyss",2025-11,Tuesday
2025-11-26,MASTERY: HackerRank SQL,finishing hacker rack problem #4,1.64,2025-11-23,48,2025,CT,SQL,Pre_Classification,,,finishing hacker rack problem #4,2025-11,Wednesday
2025-11-26,MASTERY: SQL Bootcamp,"SQL bootcamp: between, IN, like & ilike",1.51,2025-11-23,48,2025,CT,SQL,Pre_Classification,,,"SQL bootcamp: between, IN, like & ilike",2025-11,Wednesday
2025-11-26,MASTERY: AWS BIG DATA bootcamp,AWS bootcamp: overview of bigdata on AWS,0.33,2025-11-23,48,2025,CT,AWS,Pre_Classification,,,AWS bootcamp: overview of bigdata on AWS,2025-11,Wednesday
2025-11-28,MASTERY: AWS BIG DATA bootcamp,AWS bootcamp: overview of big data on AWS,1.3,2025-11-23,48,2025,CT,AWS,Pre_Classification,,,AWS bootcamp: overview of big data on AWS,2025-11,Friday
2025-11-28,BUILDING PROJECTS: Video Script Writing,VIDEO CREATION: write script,1.02,2025-11-23,48,2025,VT,,,Scripting,,VIDEO CREATION: write script,2025-11,Friday
2025-11-28,BUILDING PROJECTS: Video editing,VIDEO CREATION: editing,1.21,2025-11-23,48,2025,VT,,,Editing,,VIDEO CREATION: editing,2025-11,Friday
2025-11-28,BUILDING PROJECTS: Video filming,VIDEO CREATION: filming,0.83,2025-11-23,48,2025,VT,,,Filming,,VIDEO CREATION: filming,2025-11,Friday
2025-11-30,BUILDING PROJECTS: Video Script Writing,Writing Day 1 Script,0.73,2025-11-30,48,2025,VT,,,Scripting,1.0,Writing Day 1 Script,2025-11,Sunday
2025-12-01,MASTERY: Python Bootcamp,100 days of code DAY1,4.87,2025-11-30,49,2025,CT,Python,Pre_Classification,,,100 days of code DAY1,2025-12,Monday
2025-12-01,BUILDING PROJECTS: Video Script Writing,day 1 recap,0.7,2025-11-30,49,2025,VT,,,Scripting,1.0,day 1 recap,2025-12,Monday
2025-12-01,BUILDING PROJECTS: Video filming,VIDEO: filming day 1 recap,0.17,2025-11-30,49,2025,VT,,,Filming,1.0,VIDEO: filming day 1 recap,2025-12,Monday
2025-12-02,BUILDING PROJECTS: Video editing,video 1 edit,4.76,2025-11-30,49,2025,VT,,,Editing,,video 1 edit,2025-12,Tuesday
2025-12-02,BUILDING PROJECTS: Video Script Writing,youtube video description,0.65,2025-11-30,49,2025,VT,,,Scripting,,youtube video description,2025-12,Tuesday
2025-12-02,MASTERY: SQL Bootcamp,100days_day2_SQL_,0.95,2025-11-30,49,2025,CT,SQL,Pre_Classification,,,100days_day2_SQL_,2025-12,Tuesday
